Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001,SE_T002_001,SE_T003_002,SE_T003_001,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T011_006,SE_T011_007,SE_T011_008,SE_T011_009,SE_T011_010,SE_T011_011,SE_T011_012,SE_T011_013,SE_T011_014,SE_T011_015,SE_T011_016,SE_T011_017,SE_T023_001,SE_T023_002,SE_T023_003,SE_T023_004,SE_T023_005,SE_T023_006,SE_T023_007,SE_T023_008,SE_T023_009,SE_T023_010,SE_T023_011,SE_T027_001,SE_T027_002,SE_T027_003,SE_T027_004,SE_T027_005,SE_T027_006,SE_T027_007,SE_T031_001,SE_T031_002,SE_T031_003,SE_T043_001,SE_T043_002,SE_T043_003,SE_T043_004,SE_T043_005,SE_T043_006,SE_T043_007,SE_T043_008,SE_T043_009,SE_T043_010,SE_T043_011,SE_T043_012,SE_T043_013,SE_T047_001,SE_T047_002,SE_T047_003,SE_T047_004,SE_T047_005,SE_T047_006,SE_T047_007,SE_T047_008,SE_T050_001,SE_T051_001,SE_T051_002,SE_T051_003,SE_T051_004,SE_T051_005,SE_T056_001,SE_T056_002,SE_T056_003,SE_T064_001,SE_T064_002,SE_T064_003,SE_T064_004,SE_T064_005,SE_T064_006,SE_T064_007,SE_T064_008,SE_T064_009,SE_T064_010,SE_T064_011,SE_T064_012,SE_T064_013,SE_T064_014,SE_T064_015,SE_T064_016,SE_T064_017,SE_T064_018,SE_T064_019,SE_T064_020,SE_T064_021,SE_T064_022,SE_T064_023,SE_T064_024,SE_T064_025,SE_T064_026,SE_T064_027,SE_T064_028,SE_T064_029,SE_T064_030,SE_T064_031,SE_T064_032,SE_T064_033,SE_T064_034
"SLC52","Census Tract SLC52, St Louis County, Missouri","140","29189SLC05200","29","189",2461,0.441093683242798,2461,5579.31363221394,0.441093683242798,2461,1226,1235,2461,2332,129,0,2461,208,207,218,208,167,193,265,225,199,194,116,102,58,45,23,33,892,44,11,93,232,176,194,34,60,44,4,1884,1004,977,892,85,27,880,977,892,85,1453,2,891,66,136,689,436,255,181,110,61,49,14,1453,2,891,546,291,110,49,14,691,691,671,20,18,2,671,418,253,110,13,2,0,4,2,0,1,0,1,4,5,30,2,5,14,8,0,1,0,0,0,1,9,0,0,0,0,7,0,1,0,0,0
"SLC53","Census Tract SLC53, St Louis County, Missouri","140","29189SLC05300","29","189",4128,0.281424224376678,4128,14668.2468758439,0.281424224376678,4128,1939,2189,4128,4123,4,1,4128,201,215,303,363,340,368,355,353,358,328,269,230,167,134,82,62,1741,142,32,212,629,269,287,31,104,24,11,3472,1911,1876,1741,135,35,1561,1876,1741,135,2706,6,1323,75,167,1081,982,450,532,389,200,189,6,2706,6,1323,1371,921,389,189,6,1373,1373,1283,90,90,0,1283,475,808,160,14,7,2,7,0,5,6,1,0,4,2,46,6,2,9,11,2,14,1,0,1,6,4,0,0,0,0,9,0,1,0,0,0
"SLC54","Census Tract SLC54, St Louis County, Missouri","140","29189SLC05400","29","189",4814,0.423838585615158,4814,11358.097547945,0.423838585615158,4814,2276,2538,4814,4813,1,0,4814,254,279,367,374,463,378,389,371,332,341,327,260,216,201,132,130,1982,141,36,196,664,331,327,59,154,71,3,3989,2231,2174,1982,192,57,1758,2174,1982,192,3077,23,1698,133,247,1318,1011,481,530,342,187,155,3,3077,23,1698,1353,872,342,155,3,1373,1373,1331,42,37,5,1331,629,702,213,12,11,5,26,1,19,10,3,3,4,4,57,4,1,3,7,2,6,1,0,0,6,9,1,1,0,0,14,0,0,1,1,1
"SLC55","Census Tract SLC55, St Louis County, Missouri","140","29189SLC05500","29","189",1472,0.401012241840363,1472,3670.71088215303,0.401012241840363,1472,738,734,1472,1465,7,0,1472,95,102,129,129,133,95,114,120,108,111,91,85,50,43,28,39,541,28,11,54,170,87,115,21,20,33,2,1172,616,598,541,57,18,556,598,541,57,884,10,525,52,74,399,268,111,157,78,34,44,3,884,10,525,346,235,78,44,3,420,420,409,11,10,1,409,217,192,80,6,0,0,1,0,5,4,0,0,0,1,30,0,0,13,5,0,3,0,0,0,6,1,0,1,0,1,3,0,0,0,0,0
"SLC56","Census Tract SLC56, St Louis County, Missouri","140","29189SLC05600","29","189",2182,0.771721005439758,2182,2827.44668684586,0.771721005439758,2182,1059,1123,2182,2179,3,0,2182,172,188,204,163,119,165,246,223,172,138,103,103,70,36,36,44,818,88,13,65,303,159,115,16,36,20,3,1658,881,870,818,52,11,777,870,818,52,1336,4,647,37,79,531,490,244,246,193,94,99,2,1336,4,647,683,439,193,99,2,622,622,578,44,42,2,578,384,194,87,3,0,0,1,0,3,1,0,0,2,5,43,4,3,8,0,0,0,0,0,0,1,6,0,0,0,1,4,1,0,0,1,0
"SLC57","Census Tract SLC57, St Louis County, Missouri","140","29189SLC05700","29","189",5318,0.984365940093994,5318,5402.46242113192,0.984365940093994,5318,2580,2738,5318,5172,146,0,5318,291,347,446,497,387,325,392,445,437,437,391,308,208,163,111,133,1980,333,41,329,759,194,121,98,66,36,3,4341,2118,2083,1980,103,35,2223,2083,1980,103,3350,16,1071,60,101,910,1296,457,839,965,471,494,2,3350,16,1071,2261,1804,965,494,2,1493,1493,1443,50,48,2,1443,985,458,196,36,9,0,8,2,14,19,2,0,2,3,56,1,1,7,4,0,6,0,0,0,1,0,0,0,3,3,17,0,0,1,1,0
"SLC58","Census Tract SLC58, St Louis County, Missouri","140","29189SLC05800","29","189",2889,0.761158466339111,2889,3795.53027097631,0.761158466339111,2889,1273,1616,2889,2856,29,4,2889,115,171,264,304,233,151,161,210,262,272,196,175,136,103,62,74,1186,281,23,250,316,50,34,157,50,22,3,2404,1227,1217,1186,31,10,1177,1217,1186,31,1802,4,399,37,32,330,610,191,419,785,302,483,4,1802,4,399,1395,1204,785,483,4,735,735,708,27,24,3,708,501,207,100,18,2,0,4,0,3,11,0,3,1,1,29,2,0,7,1,0,6,0,0,0,1,2,0,0,0,0,6,0,0,2,0,1
"SLC59","Census Tract SLC59, St Louis County, Missouri","140","29189SLC05900","29","189",2998,0.802495777606964,2998,3735.84520150375,0.802495777606964,2998,1443,1555,2998,2114,884,0,2998,184,240,309,296,233,201,209,209,218,241,182,146,112,101,64,53,1089,130,15,150,260,86,82,190,98,72,6,2322,1213,1171,1089,82,42,1109,1171,1089,82,1736,25,736,106,139,491,561,237,324,413,168,245,1,1736,25,736,974,737,413,245,1,830,830,789,41,36,5,789,459,330,65,13,2,0,1,2,6,5,0,0,6,0,11,0,1,4,0,1,7,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0
"SLC60","Census Tract SLC60, St Louis County, Missouri","140","29189SLC06000","29","189",3543,0.987538754940033,3543,3587.70729986708,0.987538754940033,3543,1627,1916,3543,3496,47,0,3543,178,181,268,347,278,189,252,269,346,392,284,181,138,88,81,71,1404,220,24,403,388,66,46,203,27,16,11,2981,1473,1464,1404,60,9,1508,1464,1404,60,2291,6,516,33,41,442,858,253,605,908,384,524,3,2291,6,516,1766,1513,908,524,3,988,988,960,28,23,5,960,773,187,112,11,10,0,0,0,3,2,3,0,3,7,30,2,1,7,4,0,1,0,0,1,1,2,0,2,1,2,16,0,1,0,0,2
"SLC61","Census Tract SLC61, St Louis County, Missouri","140","29189SLC06100","29","189",3646,1.30081677436829,3646,2802.85438490798,1.30081677436829,3646,1658,1988,3646,3637,9,0,3646,249,276,346,414,255,227,280,307,289,287,184,149,131,115,65,72,1296,200,20,243,357,123,145,87,72,46,3,2849,1399,1380,1296,84,19,1450,1380,1296,84,2106,13,837,58,119,660,714,296,418,540,232,308,2,2106,13,837,1254,958,540,308,2,928,928,901,27,24,3,901,592,309,146,10,2,3,12,2,5,4,6,3,5,2,42,2,2,10,8,1,0,0,0,1,0,8,0,0,0,1,11,0,2,4,0,0
